中国移动「🅐」,#genre#
风云足球,http://223.16.133.25:35455/tptv/G_FENGSHANGZQ-CQ.m3u8
风云音乐,http://223.16.133.25:35455/tptv/G_FENGYUNYY-CQ.m3u8
兵器科技,http://223.16.133.25:35455/tptv/G_BINGQIKJ-CQ.m3u8
央视台球,http://223.16.133.25:35455/tptv/G_TAIQIU-CQ.m3u8
高尔夫网球,http://223.16.133.25:35455/tptv/G_CCTV-GOLF-CQ.m3u8
女性时尚,http://223.16.133.25:35455/tptv/G_NVXINGSS-CQ.m3u8
电视指南,http://223.16.133.25:35455/tptv/G_DIANSHIZN-CQ.m3u8
第一剧场,http://223.16.133.25:35455/tptv/G_DIYIJC-CQ.m3u8
怀旧剧场,http://223.16.133.25:35455/tptv/G_HUAIJIUJC-CQ.m3u8
央视文化精品,http://223.16.133.25:35455/tptv/G_CCTV-WENHUA-CQ.m3u8
cgtn,http://223.16.133.25:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN记录,http://223.16.133.25:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTNALBY,http://223.16.133.25:35455/ysptp/cgtnar.m3u8
cgtndocumentary,http://223.16.133.25:35455/ysptp/cgtndoc.m3u8
CGTNEN,http://223.16.133.25:35455/ysptp/cgtnen.m3u8
cgtnfrench,http://223.16.133.25:35455/ysptp/cgtnfr.m3u8
cgtnru,http://223.16.133.25:35455/ysptp/cgtnru.m3u8
cgtnsp,http://223.16.133.25:35455/ysptp/cgtnsp.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
cctv4k,http://223.16.133.25:35455/tptv/G_CCTV-4K-HD.m3u8
cctv4k,http://223.16.133.25:35455/ysptp/cctv4k_10m.m3u8
cctv4k,http://223.16.133.25:35455/ysptp/cctv4k.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
cctv8k,http://223.16.133.25:35455/ysptp/cctv8k_36m.m3u8
cctv8k,http://223.16.133.25:35455/ysptp/cctv8k_120m.m3u8
中国教育1台,http://223.16.133.25:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育4台,http://223.16.133.25:35455/itv/5000000011000031126.m3u8?cdn=bestzb
北京卫视,http://223.16.133.25:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://223.16.133.25:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://223.16.133.25:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://223.16.133.25:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://223.16.133.25:35455/itv/7851974109718180595.m3u8?cdn=bestzb
安徽卫视,http://223.16.133.25:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://223.16.133.25:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://223.16.133.25:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://223.16.133.25:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://223.16.133.25:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://223.16.133.25:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://223.16.133.25:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://223.16.133.25:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://223.16.133.25:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://223.16.133.25:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://223.16.133.25:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://223.16.133.25:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://223.16.133.25:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://223.16.133.25:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://223.16.133.25:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://223.16.133.25:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://223.16.133.25:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://223.16.133.25:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://223.16.133.25:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://223.16.133.25:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://223.16.133.25:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://223.16.133.25:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://223.16.133.25:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://223.16.133.25:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南,http://223.16.133.25:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://223.16.133.25:35455/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://223.16.133.25:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://223.16.133.25:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://223.16.133.25:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://223.16.133.25:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://223.16.133.25:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://223.16.133.25:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://223.16.133.25:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://223.16.133.25:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://223.16.133.25:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://223.16.133.25:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://223.16.133.25:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://223.16.133.25:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
东方卫视,http://223.16.133.25:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://223.16.133.25:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://223.16.133.25:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海ICS,http://223.16.133.25:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://223.16.133.25:35455/itv/5000000010000027146.m3u8?cdn=bestzb
东方财经,http://223.16.133.25:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://223.16.133.25:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://223.16.133.25:35455/itv/5000000010000018926.m3u8?cdn=bestzb
法治天地,http://223.16.133.25:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
哈哈炫动,http://223.16.133.25:35455/itv/5000000011000031123.m3u8?cdn=bestzb
纪实人文,http://223.16.133.25:35455/itv/5000000004000010282.m3u8?cdn=bestzb
纪实人文,http://223.16.133.25:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
五星体育,http://223.16.133.25:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://223.16.133.25:35455/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://223.16.133.25:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://223.16.133.25:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://223.16.133.25:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
四川卫视,http://223.16.133.25:35455/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://223.16.133.25:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://223.16.133.25:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://223.16.133.25:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
云南卫视,http://223.16.133.25:35455/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://223.16.133.25:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://223.16.133.25:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://223.16.133.25:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://223.16.133.25:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://223.16.133.25:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
凤凰卫视中文,http://223.16.133.25:35455/tptv/HD-10000k-1080P-fhchinese5s.m3u8
凤凰卫视资讯,http://223.16.133.25:35455/tptv/HD-10000k-1080P-fhzixun5s.m3u8
华数4K,http://223.16.133.25:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享4K,http://223.16.133.25:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
纯享4K,http://223.16.133.25:35455/tptv/HD-20M-2160P-chunxiang4k.m3u8
咪咕4K,http://223.16.133.25:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K,http://223.16.133.25:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4k超高清,http://223.16.133.25:35455/tptv/miguaoyun01-AVS-4K01.m3u8
咪咕全民热练,http://223.16.133.25:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://223.16.133.25:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://223.16.133.25:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://223.16.133.25:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://223.16.133.25:35455/itv/6000000002000003382.m3u8?cdn=wasusyt
NewTV精品综合,http://223.16.133.25:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
newtv精品大剧,http://223.16.133.25:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
newtv精品纪录,http://223.16.133.25:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
newtv精品体育,http://223.16.133.25:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
NEWTV精品萌宠,http://223.16.133.25:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
newtv爱情喜剧,http://223.16.133.25:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
newtv超级电视剧,http://223.16.133.25:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
newtv超级电影,http://223.16.133.25:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
newtv超级体育,http://223.16.133.25:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
newtv超级综艺,http://223.16.133.25:35455/itv/1000000006000268002.m3u8?cdn=ystenlive
newtv潮妈辣婆,http://223.16.133.25:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV东北热剧,http://223.16.133.25:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
newtv动作电影,http://223.16.133.25:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV古装剧场,http://223.16.133.25:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV欢乐剧场,http://223.16.133.25:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
newtv家庭剧场,http://223.16.133.25:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV金牌综艺,http://223.16.133.25:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
newtv惊悚悬疑,http://223.16.133.25:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
newtv军旅剧场,http://223.16.133.25:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
newtv军事评论,http://223.16.133.25:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV魅力潇湘,http://223.16.133.25:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV明星大片,http://223.16.133.25:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
newtv农业致富,http://223.16.133.25:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
NEWTV武博世界,http://223.16.133.25:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
newtv炫舞未来,http://223.16.133.25:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
newtv怡伴健康,http://223.16.133.25:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
newtv中国功夫,http://223.16.133.25:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
NEWTV黑莓电影,http://223.16.133.25:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
NEWTV黑莓动画,http://223.16.133.25:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
NEWTV哒啵电竞,http://223.16.133.25:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
NEWTV哒啵赛事,http://223.16.133.25:35455/itv/1000000001000003775.m3u8?cdn=ystenlive
SITV动漫秀场,http://223.16.133.25:35455/itv/5000000011000031113.m3u8?cdn=bestzb
SITV都市剧场,http://223.16.133.25:35455/itv/5000000011000031111.m3u8?cdn=bestzb
SITV法治天地,http://223.16.133.25:35455/itv/9001547084732463424.m3u8?cdn=bestzb
SITV欢笑剧场,http://223.16.133.25:35455/itv/5000000002000009455.m3u8?cdn=bestzb
SITV欢笑剧场,http://223.16.133.25:35455/itv/5000000007000010001.m3u8?cdn=bestzb
SITV金色学堂,http://223.16.133.25:35455/itv/5000000010000026105.m3u8?cdn=bestzb
SITV劲爆体育,http://223.16.133.25:35455/itv/5000000002000029972.m3u8?cdn=bestzb
SITV乐游,http://223.16.133.25:35455/itv/5000000011000031112.m3u8?cdn=bestzb
SITV魅力足球,http://223.16.133.25:35455/itv/5000000011000031207.m3u8?cdn=bestzb
SITV七彩戏剧,http://223.16.133.25:35455/itv/5000000011000031116.m3u8?cdn=bestzb
SITV生活时尚,http://223.16.133.25:35455/itv/5000000002000019634.m3u8?cdn=bestzb
SITV游戏风云,http://223.16.133.25:35455/itv/5000000011000031114.m3u8?cdn=bestzb
IHOT爱电竞,http://223.16.133.25:35455/itv/6000000006000230630.m3u8?cdn=wasusyt
IHOT爱谍战,http://223.16.133.25:35455/itv/6000000006000070630.m3u8?cdn=wasusyt
IHOT爱动漫,http://223.16.133.25:35455/itv/6000000006000280630.m3u8?cdn=wasusyt
IHOT爱都市,http://223.16.133.25:35455/itv/6000000006000080630.m3u8?cdn=wasusyt
IHOT爱怀旧,http://223.16.133.25:35455/itv/6000000006000260630.m3u8?cdn=wasusyt
IHOT爱经典,http://223.16.133.25:35455/itv/6000000006000060630.m3u8?cdn=wasusyt
IHOT爱科幻,http://223.16.133.25:35455/itv/6000000006000020630.m3u8?cdn=wasusyt
IHOT爱科学,http://223.16.133.25:35455/itv/6000000006000160630.m3u8?cdn=wasusyt
IHOT爱浪漫,http://223.16.133.25:35455/itv/6000000006000040630.m3u8?cdn=wasusyt
IHOT爱历史,http://223.16.133.25:35455/itv/6000000006000150630.m3u8?cdn=wasusyt
IHOT爱旅行,http://223.16.133.25:35455/itv/6000000006000250630.m3u8?cdn=wasusyt
IHOT爱奇谈,http://223.16.133.25:35455/itv/6000000006000270630.m3u8?cdn=wasusyt
IHOT爱青春,http://223.16.133.25:35455/itv/6000000006000100630.m3u8?cdn=wasusyt
IHOT爱赛车,http://223.16.133.25:35455/itv/6000000006000240630.m3u8?cdn=wasusyt
IHOT爱体育,http://223.16.133.25:35455/itv/6000000006000290630.m3u8?cdn=wasusyt
IHOT爱玩具,http://223.16.133.25:35455/itv/6000000006000220630.m3u8?cdn=wasusyt
IHOT爱喜剧,http://223.16.133.25:35455/itv/6000000006000010630.m3u8?cdn=wasusyt
IHOT爱悬疑,http://223.16.133.25:35455/itv/6000000006000050630.m3u8?cdn=wasusyt
IHOT爱幼教,http://223.16.133.25:35455/itv/6000000006000180630.m3u8?cdn=wasusyt
IHOT爱院线,http://223.16.133.25:35455/itv/6000000006000030630.m3u8?cdn=wasusyt
咪咕4k,http://223.16.133.25:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011525.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011530.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000020000011531.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000015470.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000015560.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000017678.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000019839.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000021904.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000023434.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000025380.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000027691.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/3000000010000031669.m3u8?cdn=FifastbLive
咪咕4k,http://223.16.133.25:35455/itv/2000000003000000060.m3u8?cdn=hnbblive
咪咕4k,http://223.16.133.25:35455/itv/2000000003000000061.m3u8?cdn=hnbblive
咪咕4k,http://223.16.133.25:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
咪咕4k,http://223.16.133.25:35455/itv/2000000003000000063.m3u8?cdn=hnbblive
咪咕4k,http://223.16.133.25:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
咪咕4k,http://223.16.133.25:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
咪咕4k,http://223.16.133.25:35455/itv/1000000006000270001.m3u8?cdn=ystenlive
咪咕4k,http://223.16.133.25:35455/itv/1000000006000270002.m3u8?cdn=ystenlive
咪咕4k,http://223.16.133.25:35455/itv/1000000006000270003.m3u8?cdn=ystenlive
咪咕4k,http://223.16.133.25:35455/itv/1000000006000270004.m3u8?cdn=ystenlive
咪咕4k,http://223.16.133.25:35455/itv/1000000006000270005.m3u8?cdn=ystenlive
咪咕4k,http://223.16.133.25:35455/itv/1000000006000270006.m3u8?cdn=ystenlive

香港,#genre#
凤凰卫视香港,http://223.16.133.25:35455/tptv/HD-10000k-1080P-fhhongkong5s.m3u8

中国移动「🅑」,#genre#
CCTV 1,http://gslbserv.itv.cmvideo.cn:80/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=IPTV
CCTV 1 50 FPS,http://gslbserv.itv.cmvideo.cn:80/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=IPTV
CCTV 1 HEVC,http://gslbserv.itv.cmvideo.cn:80/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=IPTV
